HeritageItemID,SchoolName,HeritageTypeName,HeritageGroupName,EndorsedSignificance,ListingNumber,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName
5063894,"Auburn North Public School - Buildings B00F, B00G and B00I and Significant Trees",Built,,1,5,3.24822,Eora,Auburn,153-159 Parramatta Road Auburn 2144,Auburn,153-159,Parramatta Road
5063899,"Berala Public School - Building B00A, B00C and B00G",Built,,1,5,2.42176,Eora,Berala,216 Harrow Road Berala 2141,Auburn,216,Harrow Road
5063914,"Lidcombe Public School - Buildings B00A, B00B, B00D, B00G, B00H and B00I",Built,,1,5,2.436,Eora,Lidcombe,1 Mills Street Lidcombe 2141,Auburn,1,Mills Street
5063929,Ballina Public School - Building B00C,Built,,1,5,0.2175,Bundjalung,Ballina,30-52 Crane Street Ballina 2478,Ballina,30-52,Crane Street
5063930,Ballina Public School - Building B00D,Built,,1,5,0.435,Bundjalung,Ballina,30-52 Crane Street Ballina 2478,Ballina,30-52,Crane Street
5063932,Ballina Coast High School - Building B00C,Built,,1,5,2.145,Bundjalung,Ballina,37-49 Swift Street Ballina 2478,Ballina,37-49,Swift Street
5063938,Cabbage Tree Island Public School - Curtilage,Landscape,,1,5,0.8094,Bundjalung,Cabbage Tree Island,Cabbage Tree Island 2477,Ballina,,
5063944,Fernleigh Public School - Building B00A,Built,,1,5,0.8094,Bundjalung,Fernleigh,451 Fernleigh Road Fernleigh 2479,Ballina,451,Fernleigh Road
5063945,Rous Public School - Building B00A,Built,,1,5,0.8094,Bundjalung,Rous,248 Rous Road Rous 2477,Ballina,248,Rous Road
5063946,Bankstown Public School - Buildings B001-B005,Built,,1,5,1.619,Eora,Bankstown,Restwell Street Bankstown 2200,Bankstown,,Restwell Street
5063947,Bankstown West Public School - Buildings B00A-B00C and B00E,Built,,1,5,1.741,Eora,Bankstown,141 William Street Bankstown 2200,Bankstown,141,William Street
5063948,"Greenacre Public School - Buildings B00A, B00B and B00E",Built,,1,5,1.76333,Eora,Greenacre,105 Waterloo Road Greenacre 2190,Bankstown,105,Waterloo Road
5063949,Karningul School - Building B00A,Built,,1,5,1.284471,Eora,Regents Park,2A Bagdad Street Regents Park 2143,Bankstown,2A,Bagdad Street
5063950,Revesby Public School - Building B00E,Built,,1,5,1.49682,Eora,Revesby,84 The River Road Revesby 2212,Bankstown,84,The River Road
5066989,Bankstown North Public School - Building B00A,Built,,0,6,,Eora,Bankstown,322 Hume Highway Bankstown 2200,Bankstown,322,Hume Highway
5063952,Bathurst Public School - Buildings B00D-B00F,Built,,1,5,3.989,Wiradjuri,Bathurst,281 George Street Bathurst 2795,Bathurst Regional,281,George Street
5063957,Denison College of Secondary Education - Building B00H,Built,,1,5,2.023,Wiradjuri,Bathurst,190 Hope Street Bathurst 2795,Bathurst Regional,190,Hope Street
5063959,O'Connell Public School - Building B00A,Built,,1,5,0.8094,Wiradjuri,O'Connell,15 Black Mills Lane O'Connell 2795,Bathurst Regional,15,Black Mills Lane
5063961,Perthville Public School - Buildings B00A and B00C,Built,,1,5,0.2023,Wiradjuri,Perthville,Prince Street Perthville 2795,Bathurst Regional,,Prince Street
5063962,Bathurst Public School,Complex / Group,Education,1,6,3.989,Wiradjuri,Bathurst,281 George Street Bathurst 2795,Bathurst Regional,281,George Street
5064000,Denison College of Secondary Education,Complex / Group,Education,1,6,4.046,Wiradjuri,Bathurst,190 Hope Street Bathurst 2795,Bathurst Regional,190,Hope Street
5064001,Hill End Public School,Complex / Group,Education,1,6,0.83657,Wiradjuri,Hill End,19 Tambaroora Street Hill End 2850,Bathurst Regional,19,Tambaroora Street
5064003,Perthville Public School,Complex / Group,Education,1,6,1.31092,Wiradjuri,Perthville,Prince Street Perthville 2795,Bathurst Regional,,Prince Street
5064004,Rockley Public School,Complex / Group,Education,1,6,0.8092,Wiradjuri,Rockley,30 Hill Street Rockley 2795,Bathurst Regional,30,Hill Street
5064005,Sofala Public School,Complex / Group,Education,1,6,0.645,Wiradjuri,Sofala,Turon Terrace Sofala 2795,Bathurst Regional,,Turon Terrace
5064006,Wattle Flat Public School,Complex / Group,Education,1,6,0.6071,Wiradjuri,Wattle Flat,3807 Sofala Road Wattle Flat 2795,Bathurst Regional,3807,Sofala Road
5064007,Bathurst West Public School,Complex / Group,Education,1,6,0.0335,Wiradjuri,Bathurst,35 Suttor Road Bathurst 2795,Bathurst Regional,35,Suttor Road
5066084,Kelso Public School,Complex / Group,Education,1,6,0.0973,Wiradjuri,Kelso,21 Gilmour Street Kelso 2795,Bathurst Regional,21,Gilmour Street
5064011,Bega Valley Public School - former CBC Bank,Built,,3,5,0.1015,Dhurga,Bega,21 Auckland Street Bega 2550,Bega Valley,21,Auckland Street
5064012,"Bega Valley Public School - Buildings B00A, B00C and B00D",Built,,1,5,0.8094,Dhurga,Bega,21 Auckland Street Bega 2550,Bega Valley,21,Auckland Street
5064013,Bega High School - Memorial Garden,Landscape,,1,5,0.8094,Dhurga,Bega,96-106 Upper Street Bega 2550,Bega Valley,96-106,Upper Street
5064014,Bemboka Public School - Building B00A,Built,,1,5,1.2595,Ngarigu,Bemboka,43-45 Nimmitabel Street Bemboka 2550,Bega Valley,43-45,Nimmitabel Street
5064019,Bermagui Public School - Building B00E and Significant Trees,Built,,1,5,0.3036,Dhurga,Bermagui,2-4 George Street Bermagui 2546,Bega Valley,2-Apr,George Street
5064021,Cobargo Public School - Buildings B00B and B00C,Built,,1,5,2.2081,Dhurga,Cobargo,20-40 Wandellow Road Cobargo 2550,Bega Valley,20-40,Wandellow Road
5064022,Eden Public School - Building B00F,Built,,1,5,0.2023,Dhurga,Eden,124 Imlay Street Eden 2551,Bega Valley,124,Imlay Street
5064024,Quaama Public School - Buildings B00A and B00D,Built,,1,5,0.8091,Dhurga,Quaama,48 Cobargo Street Quaama 2550,Bega Valley,48,Cobargo Street
5064025,Tanja Public School - Buildings B00A and B00C,Built,,1,5,0.8094,Dhurga,Tanja,7 Barrabooka Road Tanja 2550,Bega Valley,7,Barrabooka Road
5064026,Towamba Public School - Buildings B00A and B00E,Built,,1,5,0.8094,Birdawal,Towamba,9 Towamba Street Towamba 2550,Bega Valley,9,Towamba Street
5064027,Wyndham Public School - Buildings B00A and B00F,Built,,1,5,0.8092,Birdawal,Wyndham,31-37 Wyndham Road Wyndham 2550,Bega Valley,31-37,Wyndham Road
5064029,Wyndham Public School,Complex / Group,Education,1,6,0.8092,Birdawal,Wyndham,31-37 Monaro Street Wyndham 2550,Bega Valley,31-37,Monaro Street
5064030,Bellingen High School - Landscape,Landscape,,1,5,5.155,Gumbainggar,Bellingen,1125 Waterfall Way Bellingen 2454,Bellingen,1125,Waterfall Way
5064031,Bellingen Public School - Landscape,Landscape,,1,5,3.33,Gumbainggar,Bellingen,32A William Street Bellingen 2454,Bellingen,32A,William Street
5064035,Cascade Environmental Education Centre - Landscape,Landscape,,1,5,0.6096,Gumbainggar,Cascade,700 Briggsvale Road Cascade 2453,Bellingen,700,Briggsvale Road
5064037,Dorrigo Public  School - Landscape,Landscape,,1,5,1.7629,Gumbainggar,Dorrigo,2 Hickory Street Dorrigo 2453,Bellingen,2,Hickory Street
5064038,Dorrigo High School - Landscape,Landscape,,1,5,5.511,Gumbainggar,Dorrigo,4183 Waterfall Way Dorrigo 2453,Bellingen,4183,Waterfall Way
5064039,Raleigh Public School - Landscape,Landscape,,1,5,1.012,Gumbainggar,Raleigh,12 North Street Raleigh 2454,Bellingen,12,North Street
5064040,Repton Public School - Landscape,Landscape,,1,5,0.89614,Gumbainggar,Repton,1-11 River Street Repton 2454,Bellingen,1-Nov,River Street
5064041,Urunga Public School - Landscape,Landscape,,1,5,1.1804,Gumbainggar,Urunga,1-3 Bonville Street Urunga 2455,Bellingen,1-Mar,Bonville Street
5064043,Tocumwal Public School - Building B00A,Built,,1,5,0.8094,Yota-Yota,Tocumwal,17-33 Hennessy Street Tocumwal 2714,Berrigan,17-33,Hennessy Street
5064044,Marsden Park Public School - Building B00G,Built,,1,5,0.4047,Dharug,Marsden Park,363 Garfield Road West Marsden Park 2765,Blacktown,363,Garfield Road West
5064045,Colyton Public School - Building B00K,Built,,1,5,3.232,Dharug,Mount Druitt,59 Nelson Street Mount Druitt 2770,Blacktown,59,Nelson Street
5064046,Colyton Public School - Building B00I,Built,,1,5,3.232,Dharug,Mount Druitt,59 Nelson Street Mount Druitt 2770,Blacktown,59,Nelson Street
5064047,Plumpton House School - Building B00A,Built,,1,5,,Dharug,Plumpton,327 Rooty Hill Road Plumpton 2761,Blacktown,327,Rooty Hill Road
5064048,Casuarina School - Building B00A,Built,,1,5,,Dharug,Riverstone,100 Garfield Road Riverstone 2765,Blacktown,100,Garfield Road
5064049,Riverstone High School - Building B00M,Built,,1,5,9.594,Dharug,Riverstone,71 McCulloch Street Riverstone 2765,Blacktown,71,McCulloch Street
5064051,The Meadows Public School - Building B00F,Built,,1,5,0.0803,Dharug,Seven Hills,2C Fuller Street Seven Hills 2147,Blacktown,2C,Fuller Street
5064052,Seven Hills North Public School - Buildings B00C and B0D,Built,,1,5,0.7705,Dharug,Seven Hills,45 Beethoven Street Seven Hills 2147,Blacktown,45,Beethoven Street
5064053,Blayney Public School - Building B00A and Significant Trees,Built,,1,5,1.9883,Wiradjuri,Blayney,2 Lindsay Street Blayney 2799,Blayney,2,Lindsay Street
5064054,Blayney High School - Significant Trees,Landscape,,1,5,6.485,Wiradjuri,Blayney,1 Water Street Blayney 2799,Blayney,1,Water Street
5064055,Carcoar Public School - Building B00A and B00C and Significant Trees,Built,,1,5,0.7663,Wiradjuri,Carcoar,13 Icely Street Carcoar 2791,Blayney,13,Icely Street
5064056,Lyndhurst Public School - Buildings B00A and B00B and Significant Trees,Built,,1,5,2.0134,Wiradjuri,Lyndhurst,8 Russart Street Lyndhurst 2797,Blayney,8,Russart Street
5064057,Millthorpe Public School - Buildings B00B-B00D and Significant Trees,Built,,1,5,0.90462,Wiradjuri,Millthorpe,32 Park Street Millthorpe 2798,Blayney,32,Park Street
5064058,Millthorpe Public School - Effluent Disposal Area,Landscape,,1,5,1.333,Wiradjuri,Millthorpe,54 Park Street Millthorpe 2798,Blayney,54,Park Street
5064059,Neville Public School - Building B00A,Built,,1,5,0.8094,Wiradjuri,Neville,8 Crouch Street Neville 2799,Blayney,8,Crouch Street
5064060,Blayney Public School,Complex / Group,Education,1,6,1.9883,Wiradjuri,Blayney,2 Lindsay Street Blayney 2799,Blayney,2,Lindsay Street
5064061,Blayney High School,Complex / Group,Education,1,6,6.485,Wiradjuri,Blayney,1 Water Street Blayney 2799,Blayney,1,Water Street
5064062,Carcoar Public School,Complex / Group,Education,1,6,0.7663,Wiradjuri,Carcoar,13 Icely Street Carcoar 2791,Blayney,13,Icely Street
5064063,Millthorpe Public School,Complex / Group,Education,1,6,1.19842,Wiradjuri,Millthorpe,32 Park Street Millthorpe 2798,Blayney,32,Park Street
5064064,Blackheath Public School - Building B00B,Built,,1,5,1.2041,Dharug,Blackheath,201 Great Western Highway Blackheath 2785,Blue Mountains ,201,Great Western Highway
5064065,Blackheath Public School - Blackheath Stockade site,Archaeological-Terrestrial,,1,5,1.2041,Dharug,Blackheath,201 Great Western Highway Blackheath 2785,Blue Mountains ,201,Great Western Highway
5064066,Blackheath Public School - Building B00E,Built,,1,5,0.4047,Dharug,Blackheath,207 Great Western Highway Blackheath 2785,Blue Mountains ,207,Great Western Highway
5064067,The Warruwii Centre - Building B00A,Built,,1,5,0.7208,Dharug,Glenbrook,10 Park Street Glenbrook 2773,Blue Mountains ,10,Park Street
5064069,Lawson Public School - Former Blue Mountains Inn site,Archaeological-Terrestrial,,1,5,1.64187,Dharug,Lawson,2-12 Wilson Street Lawson 2783,Blue Mountains ,2-Dec,Wilson Street
5064070,Mount Victoria Public School - Building B00C,Built,,1,5,1.4164,Dharug,Mount Victoria,105-107 Great Western Highway Mount Victoria 2786,Blue Mountains ,105-107,Great Western Highway
5064071,Wentworth Falls Public School - Buildings B00F and B00G,Built,,1,5,2.4281,Dharug,Wentworth Falls,52-58 Falls Road Wentworth Falls 2782,Blue Mountains ,52-58,Falls Road
5064072,Mount Victoria Public School,Complex / Group,Education,1,6,1.4164,Dharug,Mount Victoria,105-107 Great Western Highway Mount Victoria 2786,Blue Mountains ,105-107,Great Western Highway
5064182,Mount Wilson Adult Education Centre - Buildings B00A and B00B,Built,,1,5,3.2504,Dharug,Mount Wilson,51 Wilson Street Mount Wilson 2786,Blue Mountains ,51,Wilson Street
5064073,"Banksmeadow Public School - Building B00A, B00B and B00S",Built,,1,5,0.8585,Eora,Botany,60 Brighton Street Botany 2019,Botany Bay,60,Brighton Street
5064074,"Botany Public School - Buildings B00A, B00B and B00C",Built,,1,5,2.1086,Eora,Botany,1076 Botany Road Botany 2019,Botany Bay,1076,Botany Road
5064076,John Brotchie Nursery School - Building B00A,Built,,1,5,,Eora,Botany,1361 Botany Road Botany 2019,Botany Bay,1361,Botany Road
5064078,Daceyville Public School - Buildings B00A-B00C and B00E,Built,,1,5,2.881,Eora,Daceyville,Joffre Crescent Daceyville 2032,Botany Bay,,Joffre Crescent
5064081,Matraville Public School - Building B00B,Built,,1,5,1.8034,Eora,Hillsdale,Bunnerong Road Hillsdale 2036,Botany Bay,,Bunnerong Road
5064082,Mascot Public School - Building B00A and B00B,Built,,1,5,3.704,Eora,Mascot,King Street Mascot 2020,Botany Bay,,King Street
5064123,Daceyville Public School,Complex / Group,Education,1,6,2.881,Eora,Daceyville,Joffre Crescent Daceyville 2032,Botany Bay,,Joffre Crescent
5064124,Botany Public School,Complex / Group,Education,1,6,2.1086,Eora,Botany,1076 Botany Road Botany 2019,Botany Bay,1076,Botany Road
5064125,John Brotchie Nursery School,Complex / Group,Education,1,6,,Eora,Botany,1361 Botany Road Botany 2019,Botany Bay,1361,Botany Road
5064085,"Broken Hill North Public School - Buildings B00A-B00C, B00E and B00F",Built,,1,5,3.0804,Wilyagali,Broken Hill,619 Chapple Street Broken Hill 2880,Broken Hill,619,Chapple Street
5064086,"Broken Hill High School - Buildings B00A, B00E, B00T and B00T1",Built,,1,5,4.6998,Wilyagali,Broken Hill,76 Garnet Street Broken Hill 2880,Broken Hill,76,Garnet Street
5064087,School of the Air - Building B00A,Built,,1,5,0.26047,Wilyagali,Broken Hill,586 Lane Street Broken Hill 2880,Broken Hill,586,Lane Street
5064088,Burke Ward Public School - Buildings B00A-B00D and B00F,Built,,1,5,2.2006,Wilyagali,Broken Hill,185 Ratkow Street Broken Hill 2880,Broken Hill,185,Ratkow Street
5064089,Alma Public School,Complex / Group,Education,1,6,1.9586,Wilyagali,Broken Hill,29 Comstock Street Broken Hill 2880,Broken Hill,29,Comstock Street
5066455,Broken Hill Public School - Buildings B00A-B00C,Built,,0,6,1.811,Wilyagali,Broken Hill,135 Bromide Street Broken Hill 2880,Broken Hill,135,Bromide Street
5064090,Burwood Public School - Building B00B,Built,,1,5,0.6718,Eora,Burwood,1-5 Conder Street Burwood 2134,Burwood,1-May,Conder Street
5064091,Burwood Public School - Building B00A,Built,,1,5,0.6718,Eora,Burwood,1-5 Conder Street Burwood 2134,Burwood,1-May,Conder Street
5064092,"Burwood Girls High School - Buildings B00A-B00D, B00K, B00M and B00N",Built,,1,5,1.9643,Eora,Burwood,95 Queen Street Burwood 2134,Burwood,95,Queen Street
5064093,Croydon Public School - Building B00E,Built,,1,5,2.2601,Eora,Croydon,39 Young Street Croydon 2132,Burwood,39,Young Street
5064094,Bangalow Public School - Building B00A,Built,,1,5,1.214,Bundjalung,Bangalow,45-71 Byron Street Bangalow 2479,Byron,45-71,Byron Street
5064095,Brunswick Heads Public School - Building B00F,Built,,1,5,0.8802,Bundjalung,Brunswick Heads,Fingal Street Brunswick Heads 2483,Byron,,Fingal Street
5064096,Byron Bay Public School - Buildings B00A and B00B,Built,,1,5,2.0195,Bundjalung,Byron Bay,17 Kingsley Street Byron Bay 2481,Byron,17,Kingsley Street
5064097,Eureka Public School - Buildings B00A and B00H and Landscape,Built,,1,5,1.32,Bundjalung,Eureka,438 Eureka Road Eureka 2480,Byron,438,Eureka Road
5064098,Bangalow Public School,Complex / Group,Education,1,6,1.214,Bundjalung,Bangalow,45-71 Byron Street Bangalow 2479,Byron,45-71,Byron Street
5064126,Byron Bay Public School,Complex / Group,Education,1,6,2.0195,Bundjalung,Byron Bay,17 Kingsley Street Byron Bay 2481,Byron,17,Kingsley Street
5064127,Eureka Public School,Complex / Group,Education,1,6,1.32,Bundjalung,Eureka,438 Eureka Road Eureka 2480,Byron,438,Eureka Road
5064128,Borenore Public School - Building B00B,Built,,1,5,0.8827,Wiradjuri,Borenore,1243 The Escort Way Borenore 2800,Cabonne,1243,The Escort Way
5064129,Eugowra Public School - Movable Items,Movable / Collection,,1,5,0.7275,Wiradjuri,Eugowra,3 Hill Street Eugowra 2806,Cabonne,3,Hill Street
5064130,Camden Public School - Building I and Potential Archaeology,Built,,1,5,3.1033,Dhawa,Camden,25 John Street Camden 2570,Camden,25,John Street
5064131,Camden Park Environmental Education Centre,Landscape,,3,5,,Gandangara,Menangle,60 Woodbridge Road Menangle 2568,Camden,60,Woodbridge Road
5064132,Cobbitty Public School - Buildings B00A and B00E,Built,,1,5,0.8094,Dhawa,Cobbitty,308 Cobbitty Road Cobbitty 2570,Camden,308,Cobbitty Road
5064133,Narellan Public School - Buildings B00A and B00B and Landscape,Built,,1,5,2.157,Dharug,Narellan,290 Camden Valley Way Narellan 2567,Camden,290,Camden Valley Way
5064134,Rossmore Public School - Buildings B00E-B00G,Built,,1,5,0.5571,Dharug,Rossmore,633 Bringelly Road Rossmore 2557,Camden,633,Bringelly Road
5064136,Camden Public School,Complex / Group,Education,1,6,3.1033,Dhawa,Camden,25 John Street Camden 2570,Camden,25,John Street
5065988,Leppington Public School - Buildings B00H-B00M,Built,,1,6,0.8062,Dharug,Leppington,144 Rickards Road Leppington 2171,Camden,144,Rickards Road
5064137,Hurlstone Agricultural High School - Building B00E,Built,,1,5,37.77,Dhawa,Glenfield,Roy Watts Road Glenfield 2167,Campbelltown ,,Roy Watts Road
5064138,Ingleburn Public School - Buildings B00A and B00F,Built,,1,5,0.5906,Dhawa,Ingleburn,51 Oxford Road Ingleburn 2565,Campbelltown ,51,Oxford Road
5066343,"Ajuga, Campbell House and Glenfield Park School - Buildings B00A-B00J, B00L and B00N, Residence, Ancillary structures, Landscape and Grounds",Built,,0,6,43.12,Dhawa,Glenfield,Campbelltown Road Glenfield 2167,Campbelltown ,,Campbelltown Road
5064139,Abbotsford Public School - Buildings B00A and B00B,Built,,1,5,1.77,Eora,Abbotsford,348 Great North Road Abbotsford 2046,Canada Bay,348,Great North Road
5064140,"Mortlake Public School - Buildings B001, B004, B005 and B006; Grounds and Significant Trees",Built,,1,5,1.5556,Dharug,Concord,15 Archer Street Concord 2137,Canada Bay,15,Archer Street
5064141,"Concord Public School - Buildings B00A, B00E, B00F and B00H; Grounds and Significant Trees",Built,,1,5,1.17591,Dharug,Concord,66 Burwood Road Concord 2137,Canada Bay,66,Burwood Road
5064185,Concord High School - Grounds,Landscape,,1,5,3.37583,Eora,Concord,5 Stanley Street Concord 2137,Canada Bay,5,Stanley Street
5064186,"Concord West Public School - Buildings B00A, B00C and B00D",Built,,1,5,1.6267,Eora,Concord West,368-378 Concord Road Concord West 2138,Canada Bay,368-378,Concord Road
5064187,Rivendell School - Buildings B00A-B00D and Grounds,Built,,3,5,,Eora,Concord West,1A Hospital Road Concord West 2138,Canada Bay,1A,Hospital Road
5064189,Victoria Avenue Public School - Grounds,Landscape,,1,5,0.9072,Eora,Concord West,64-66 Victoria Avenue Concord West 2138,Canada Bay,64-66,Victoria Avenue
5064190,Drummoyne Public School - Building B00A,Built,,1,5,0.93075,Eora,Drummoyne,52 Thompson Street Drummoyne 2047,Canada Bay,52,Thompson Street
5064191,"Five Dock Public School - Buildings B00A, B00B, B00E and B00G and Landscape",Built,,1,5,1.82,Eora,Five Dock,33 Henry Street Five Dock 2046,Canada Bay,33,Henry Street
5064192,Strathfield North Public School - Buildings B00B and B00G and Grounds,Built,,1,5,1.509,Eora,North Strathfield,249 Concord Road North Strathfield 2137,Canada Bay,249,Concord Road
5064193,Drummoyne Public School,Complex / Group,Education,1,6,0.93075,Eora,Drummoyne,52 Thompson Street Drummoyne 2047,Canada Bay,52,Thompson Street
5064194,Canterbury Public School - Buildings B00A-B00C and B00F,Built,,1,5,0.2037,Eora,Canterbury,44A Church Street Canterbury 2193,Canterbury,44A,Church Street
5064196,Ashbury Public School,Complex / Group,Education,1,6,1.05842,Eora,Ashbury,36-76 Trevenar Street Ashbury 2193,Canterbury,36-76,Trevenar Street
5066497,Ashbury Public School - Building B00C,Built,,0,6,0.24026,Eora,Ashbury,36-76 Trevenar Street Ashbury 2193,Canterbury,36-76,Trevenar Street
5066673,Ashbury Public School - Building B00A,Built,,0,6,0.36738,Eora,Ashbury,36-76 Trevenar Street Ashbury 2193,Canterbury,36-76,Trevenar Street
5067002,Canterbury Girls High School - Buildings B00A and B00F,Built,,0,6,,Eora,Canterbury,44A Church Street Canterbury 2193,Canterbury,44A,Church Street
5064197,Carrathool Public School - Residence,Built,,1,5,0.8094,Wiradjuri,Carrathool,3-5 Herriot Street Carrathool 2711,Carrathool,3-May,Herriot Street
5064198,"Goolgowi Public School - Buildings B00A, B00B and B00D",Built,,1,5,2.294,Wiradjuri,Goolgowi,32-48 Moira Street Goolgowi 2652,Carrathool,32-48,Moira Street
5064199,"Hillston Central School - Buildings B00E, B00H, B00I and B00J",Built,,1,5,2.12042,Wiradjuri,Hillston,42-68 Moore Street Hillston 2675,Carrathool,42-68,Moore Street
5064200,Rankins Springs Public School - Buildings B00B-B00D,Built,,1,5,2.29,Wiradjuri,Rankins Springs,13-23 Boree Street Rankins Springs 2669,Carrathool,13-23,Boree Street
5064201,White Cliffs Public School - Building B00A,Built,,1,5,0.8094,Bagandji,White Cliffs,Johnston Street White Cliffs 2836,Central Darling,,Johnston Street
5064202,Wilcannia Central School - Building B00F,Built,,1,5,0.2024,Bagandji,Wilcannia,90-98 Woore Street Wilcannia 2836,Central Darling,90-98,Woore Street
5064203,"Cessnock Public School - Buildings B00A, B0E, B00K and B00L",Built,,1,5,2.15,Darkinjung,Cessnock,1 Rawson Street Cessnock 2325,Cessnock,1,Rawson Street
5064204,Abermain Public School - Building B00A,Built,,1,5,2.422,Wanaruah,Abermain,1 Goulburn Street Abermain 2326,Cessnock,1,Goulburn Street
5064205,Cessnock High School - Buildings B00A and B00B,Built,,1,5,2.023,Darkinjung,Cessnock,49E Aberdare Road Cessnock 2325,Cessnock,49E,Aberdare Road
5064206,Cessnock East Public School - Building B00A,Built,,1,5,3.167,Darkinjung,Cessnock,360 Maitland Road Cessnock 2325,Cessnock,360,Maitland Road
5064207,Cessnock West Public School - Buildings B00A and B00E,Built,,1,5,0.56292,Darkinjung,Cessnock,113 Alfred Street Cessnock 2325,Cessnock,113,Alfred Street
5064209,Ellalong Public School - Building B00A and Memorial Gates,Built,,1,5,1.8914,Darkinjung,Ellalong,Helena Street Ellalong 2325,Cessnock,,Helena Street
5064210,Greta Public School - Building B00A,Built,,1,5,1.62,Wanaruah,Greta,2a Wyndham Street Greta 2334,Cessnock,2a,Wyndham Street
5064211,Kearsley Public School - Building B00A and Memorial Gates,Built,,1,5,1.188,Darkinjung,Kearsley,130 Caledonia Street Kearsley 2325,Cessnock,130,Caledonia Street
5064212,Kitchener Public School - Building B00A,Built,,1,5,2.362,Darkinjung,Kitchener,35-58 Richmond Road Kitchener 2325,Cessnock,35-58,Richmond Road
5064216,Kurri Kurri Public School - Buildings B00A-B00E,Built,,1,5,2.147,Awabakal,Kurri Kurri,202 Lang Street Kurri Kurri 2327,Cessnock,202,Lang Street
5064223,Kurri Kurri High School - Movable Item,Movable / Collection,,1,5,0.6026,Awabakal,Kurri Kurri,11 Deakin Street Kurri Kurri 2327,Cessnock,11,Deakin Street
5064224,Laguna Public School - Building B00A,Built,,1,5,0.7882,Darkinjung,Laguna,3738 Great North Road Laguna 2325,Cessnock,3738,Great North Road
5064225,Millfield Public School - Buildings B00A and B00G and Memorial Gates,Built,,1,5,2.79452,Darkinjung,Millfield,129 Wollombi Road Millfield 2325,Cessnock,129,Wollombi Road
