HeritageItemID,SchoolName_x,HeritageTypeName,HeritageGroupName,EndorsedSignificance,ListingNumber,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName,MatchName,ItemName,School_code,AgeID,SchoolName_y,Street,Town_suburb,Postcode,Latitude,Longitude
5064019,Bermagui Public School - Building B00E and Significant Trees,Built,,1,5,0.3036,Dhurga,Bermagui,2-4 George Street Bermagui 2546,Bega Valley,2-Apr,George Street,bermagui public school,Building B00E and Significant Trees,1204.0,50178.0,bermagui public school,George St,Bermagui ,2546.0,-36.420776,150.063625
5064021,Cobargo Public School - Buildings B00B and B00C,Built,,1,5,2.2081,Dhurga,Cobargo,20-40 Wandellow Road Cobargo 2550,Bega Valley,20-40,Wandellow Road,cobargo public school,Buildings B00B and B00C,1579.0,50179.0,cobargo public school,Wandella Rd,Cobargo,2550.0,-36.386942,149.882818
5064022,Eden Public School - Building B00F,Built,,1,5,0.2023,Dhurga,Eden,124 Imlay Street Eden 2551,Bega Valley,124,Imlay Street,eden public school,Building B00F,1816.0,50194.0,eden public school,124 Imlay St,Eden ,2551.0,-37.063271,149.906688
5064024,Quaama Public School - Buildings B00A and B00D,Built,,1,5,0.8091,Dhurga,Quaama,48 Cobargo Street Quaama 2550,Bega Valley,48,Cobargo Street,quaama public school,Buildings B00A and B00D,2917.0,50187.0,quaama public school,48 Cobargo St,Quaama ,2550.0,-36.464226,149.86705
5064025,Tanja Public School - Buildings B00A and B00C,Built,,1,5,0.8094,Dhurga,Tanja,7 Barrabooka Road Tanja 2550,Bega Valley,7,Barrabooka Road,tanja public school,Buildings B00A and B00C,3159.0,50188.0,tanja public school,Barrabooka Rd,Tanja ,2550.0,-36.64029,149.975072
5064026,Towamba Public School - Buildings B00A and B00E,Built,,1,5,0.8094,Birdawal,Towamba,9 Towamba Street Towamba 2550,Bega Valley,9,Towamba Street,towamba public school,Buildings B00A and B00E,3252.0,50190.0,towamba public school,Towamba St,Towamba ,2550.0,-37.084209,149.695158
5064027,Wyndham Public School - Buildings B00A and B00F,Built,,1,5,0.8092,Birdawal,Wyndham,31-37 Wyndham Road Wyndham 2550,Bega Valley,31-37,Wyndham Road,wyndham public school,Buildings B00A and B00F,3525.0,50192.0,wyndham public school,Monaro St,Wyndham ,2550.0,-36.92962,149.64656
5064029,Wyndham Public School,Complex / Group,Education,1,6,0.8092,Birdawal,Wyndham,31-37 Monaro Street Wyndham 2550,Bega Valley,31-37,Monaro Street,wyndham public school,,3525.0,50192.0,wyndham public school,Monaro St,Wyndham ,2550.0,-36.92962,149.64656
5064030,Bellingen High School - Landscape,Landscape,,1,5,5.155,Gumbainggar,Bellingen,1125 Waterfall Way Bellingen 2454,Bellingen,1125,Waterfall Way,bellingen high school,Landscape,8258.0,46362.0,bellingen high school,1125 Waterfall Way,Bellingen ,2454.0,-30.455123,152.908442
5064031,Bellingen Public School - Landscape,Landscape,,1,5,3.33,Gumbainggar,Bellingen,32A William Street Bellingen 2454,Bellingen,32A,William Street,bellingen public school,Landscape,1181.0,49676.0,bellingen public school,William St,Bellingen ,2454.0,-30.45349,152.891887
5064035,Cascade Environmental Education Centre - Landscape,Landscape,,1,5,0.6096,Gumbainggar,Cascade,700 Briggsvale Road Cascade 2453,Bellingen,700,Briggsvale Road,cascade environmental education centre,Landscape,5731.0,64080.0,cascade environmental education centre,Coramba Rd,Cascade,2453.0,-30.233457,152.789665
5064037,Dorrigo Public  School - Landscape,Landscape,,1,5,1.7629,Gumbainggar,Dorrigo,2 Hickory Street Dorrigo 2453,Bellingen,2,Hickory Street,dorrigo public  school,Landscape,,,,,,,,
5064038,Dorrigo High School - Landscape,Landscape,,1,5,5.511,Gumbainggar,Dorrigo,4183 Waterfall Way Dorrigo 2453,Bellingen,4183,Waterfall Way,dorrigo high school,Landscape,8453.0,49671.0,dorrigo high school,Waterfall Way,Dorrigo ,2453.0,-30.339222,152.705492
5064039,Raleigh Public School - Landscape,Landscape,,1,5,1.012,Gumbainggar,Raleigh,12 North Street Raleigh 2454,Bellingen,12,North Street,raleigh public school,Landscape,2931.0,49677.0,raleigh public school,12 NORTH STREET,RALEIGH,2454.0,-30.450064,153.012586
5064040,Repton Public School - Landscape,Landscape,,1,5,0.89614,Gumbainggar,Repton,1-11 River Street Repton 2454,Bellingen,1-Nov,River Street,repton public school,Landscape,2955.0,49678.0,repton public school,River Street,REPTON,2454.0,-30.446021,153.029037
5064041,Urunga Public School - Landscape,Landscape,,1,5,1.1804,Gumbainggar,Urunga,1-3 Bonville Street Urunga 2455,Bellingen,1-Mar,Bonville Street,urunga public school,Landscape,3318.0,57496.0,urunga public school,Bonville St,Urunga,2455.0,-30.495206,153.020428
5064043,Tocumwal Public School - Building B00A,Built,,1,5,0.8094,Yota-Yota,Tocumwal,17-33 Hennessy Street Tocumwal 2714,Berrigan,17-33,Hennessy Street,tocumwal public school,Building B00A,3225.0,50640.0,tocumwal public school,18-20 Morris St,Tocumwal,2714.0,-35.813862,145.56885
5064044,Marsden Park Public School - Building B00G,Built,,1,5,0.4047,Dharug,Marsden Park,363 Garfield Road West Marsden Park 2765,Blacktown,363,Garfield Road West,marsden park public school,Building B00G,2489.0,50784.0,marsden park public school,363 Garfield Road West,MARSDEN PARK,2765.0,-33.696425,150.833642
5064045,Colyton Public School - Building B00K,Built,,1,5,3.232,Dharug,Mount Druitt,59 Nelson Street Mount Druitt 2770,Blacktown,59,Nelson Street,colyton public school,Building B00K,1596.0,50796.0,colyton public school,Nelson St,Mount Druitt ,2770.0,-33.777199,150.81316
5064046,Colyton Public School - Building B00I,Built,,1,5,3.232,Dharug,Mount Druitt,59 Nelson Street Mount Druitt 2770,Blacktown,59,Nelson Street,colyton public school,Building B00I,1596.0,50796.0,colyton public school,Nelson St,Mount Druitt ,2770.0,-33.777199,150.81316
5064047,Plumpton House School - Building B00A,Built,,1,5,,Dharug,Plumpton,327 Rooty Hill Road Plumpton 2761,Blacktown,327,Rooty Hill Road,plumpton house school,Building B00A,5754.0,50779.0,plumpton house school,327 Rooty Hill Road North,Plumpton ,2761.0,-33.75029,150.840732
5064048,Casuarina School - Building B00A,Built,,1,5,,Dharug,Riverstone,100 Garfield Road Riverstone 2765,Blacktown,100,Garfield Road,casuarina school,Building B00A,5574.0,57880.0,casuarina school,Garfield Rd E & Piccadilly St,Riverstone,2765.0,-33.677516,150.866346
5064049,Riverstone High School - Building B00M,Built,,1,5,9.594,Dharug,Riverstone,71 McCulloch Street Riverstone 2765,Blacktown,71,McCulloch Street,riverstone high school,Building B00M,8907.0,6398.0,riverstone high school,71 McCulloch Street,RIVERSTONE,2765.0,-33.678883,150.875744
5064051,The Meadows Public School - Building B00F,Built,,1,5,0.0803,Dharug,Seven Hills,2C Fuller Street Seven Hills 2147,Blacktown,2C,Fuller Street,the meadows public school,Building B00F,2510.0,47825.0,the meadows public school,Fuller St,Seven Hills ,2147.0,-33.781365,150.942567
5064052,Seven Hills North Public School - Buildings B00C and B0D,Built,,1,5,0.7705,Dharug,Seven Hills,45 Beethoven Street Seven Hills 2147,Blacktown,45,Beethoven Street,seven hills north public school,Buildings B00C and B0D,3053.0,47822.0,seven hills north public school,45 Beethoven St,Seven Hills ,2147.0,-33.759976,150.955041
5064053,Blayney Public School - Building B00A and Significant Trees,Built,,1,5,1.9883,Wiradjuri,Blayney,2 Lindsay Street Blayney 2799,Blayney,2,Lindsay Street,blayney public school,Building B00A and Significant Trees,1260.0,50999.0,blayney public school,Lindsay St,Blayney ,2799.0,-33.528987,149.251583
5064054,Blayney High School - Significant Trees,Landscape,,1,5,6.485,Wiradjuri,Blayney,1 Water Street Blayney 2799,Blayney,1,Water Street,blayney high school,Significant Trees,8357.0,50998.0,blayney high school,Water St,Blayney ,2799.0,-33.531048,149.251081
5064055,Carcoar Public School - Building B00A and B00C and Significant Trees,Built,,1,5,0.7663,Wiradjuri,Carcoar,13 Icely Street Carcoar 2791,Blayney,13,Icely Street,carcoar public school,Building B00A and B00C and Significant Trees,1504.0,50966.0,carcoar public school,Icely St,Carcoar ,2791.0,-33.612326,149.142432
5064056,Lyndhurst Public School - Buildings B00A and B00B and Significant Trees,Built,,1,5,2.0134,Wiradjuri,Lyndhurst,8 Russart Street Lyndhurst 2797,Blayney,8,Russart Street,lyndhurst public school,Buildings B00A and B00B and Significant Trees,2436.0,50993.0,lyndhurst public school,Marsden St,Lyndhurst ,2797.0,-33.673266,149.044914
5064057,Millthorpe Public School - Buildings B00B-B00D and Significant Trees,Built,,1,5,0.90462,Wiradjuri,Millthorpe,32 Park Street Millthorpe 2798,Blayney,32,Park Street,millthorpe public school,Buildings B00B-B00D and Significant Trees,2558.0,50995.0,millthorpe public school,Park St,Millthorpe ,2798.0,-33.445146,149.185939
5064058,Millthorpe Public School - Effluent Disposal Area,Landscape,,1,5,1.333,Wiradjuri,Millthorpe,54 Park Street Millthorpe 2798,Blayney,54,Park Street,millthorpe public school,Effluent Disposal Area,2558.0,50995.0,millthorpe public school,Park St,Millthorpe ,2798.0,-33.445146,149.185939
5064059,Neville Public School - Building B00A,Built,,1,5,0.8094,Wiradjuri,Neville,8 Crouch Street Neville 2799,Blayney,8,Crouch Street,neville public school,Building B00A,2732.0,51000.0,neville public school,Crouch St,Neville ,2799.0,-33.708658,149.216784
5064060,Blayney Public School,Complex / Group,Education,1,6,1.9883,Wiradjuri,Blayney,2 Lindsay Street Blayney 2799,Blayney,2,Lindsay Street,blayney public school,,1260.0,50999.0,blayney public school,Lindsay St,Blayney ,2799.0,-33.528987,149.251583
5064061,Blayney High School,Complex / Group,Education,1,6,6.485,Wiradjuri,Blayney,1 Water Street Blayney 2799,Blayney,1,Water Street,blayney high school,,8357.0,50998.0,blayney high school,Water St,Blayney ,2799.0,-33.531048,149.251081
5064062,Carcoar Public School,Complex / Group,Education,1,6,0.7663,Wiradjuri,Carcoar,13 Icely Street Carcoar 2791,Blayney,13,Icely Street,carcoar public school,,1504.0,50966.0,carcoar public school,Icely St,Carcoar ,2791.0,-33.612326,149.142432
5064063,Millthorpe Public School,Complex / Group,Education,1,6,1.19842,Wiradjuri,Millthorpe,32 Park Street Millthorpe 2798,Blayney,32,Park Street,millthorpe public school,,2558.0,50995.0,millthorpe public school,Park St,Millthorpe ,2798.0,-33.445146,149.185939
5064064,Blackheath Public School - Building B00B,Built,,1,5,1.2041,Dharug,Blackheath,201 Great Western Highway Blackheath 2785,Blue Mountains ,201,Great Western Highway,blackheath public school,Building B00B,1246.0,50873.0,blackheath public school,Leichhardt St,Blackheath ,2785.0,-33.639284,150.285831
5064065,Blackheath Public School - Blackheath Stockade site,Archaeological-Terrestrial,,1,5,1.2041,Dharug,Blackheath,201 Great Western Highway Blackheath 2785,Blue Mountains ,201,Great Western Highway,blackheath public school,Blackheath Stockade site,1246.0,50873.0,blackheath public school,Leichhardt St,Blackheath ,2785.0,-33.639284,150.285831
5064066,Blackheath Public School - Building B00E,Built,,1,5,0.4047,Dharug,Blackheath,207 Great Western Highway Blackheath 2785,Blue Mountains ,207,Great Western Highway,blackheath public school,Building B00E,1246.0,50873.0,blackheath public school,Leichhardt St,Blackheath ,2785.0,-33.639284,150.285831
5064067,The Warruwii Centre - Building B00A,Built,,1,5,0.7208,Dharug,Glenbrook,10 Park Street Glenbrook 2773,Blue Mountains ,10,Park Street,the warruwii centre,Building B00A,,,,,,,,
5064069,Lawson Public School - Former Blue Mountains Inn site,Archaeological-Terrestrial,,1,5,1.64187,Dharug,Lawson,2-12 Wilson Street Lawson 2783,Blue Mountains ,2-Dec,Wilson Street,lawson public school,Former Blue Mountains Inn site,2381.0,50871.0,lawson public school,Adelaide Street,Lawson,2783.0,-33.721217,150.428243
5064070,Mount Victoria Public School - Building B00C,Built,,1,5,1.4164,Dharug,Mount Victoria,105-107 Great Western Highway Mount Victoria 2786,Blue Mountains ,105-107,Great Western Highway,mount victoria public school,Building B00C,2652.0,50881.0,mount victoria public school,Great Western Hwy,Mount Victoria ,2786.0,-33.591334,150.253883
5064071,Wentworth Falls Public School - Buildings B00F and B00G,Built,,1,5,2.4281,Dharug,Wentworth Falls,52-58 Falls Road Wentworth Falls 2782,Blue Mountains ,52-58,Falls Road,wentworth falls public school,Buildings B00F and B00G,3422.0,50869.0,wentworth falls public school,Falls Rd,Wentworth Falls ,2782.0,-33.714112,150.373525
5064072,Mount Victoria Public School,Complex / Group,Education,1,6,1.4164,Dharug,Mount Victoria,105-107 Great Western Highway Mount Victoria 2786,Blue Mountains ,105-107,Great Western Highway,mount victoria public school,,2652.0,50881.0,mount victoria public school,Great Western Hwy,Mount Victoria ,2786.0,-33.591334,150.253883
5064182,Mount Wilson Adult Education Centre - Buildings B00A and B00B,Built,,1,5,3.2504,Dharug,Mount Wilson,51 Wilson Street Mount Wilson 2786,Blue Mountains ,51,Wilson Street,mount wilson adult education centre,Buildings B00A and B00B,,,,,,,,
