HeritageItemID,ItemName,HeritageTypeName,HeritageGroupName,EndorsedSignificance,DataEntryStatus,AssessedSignificance,ListingNumber,OwnerCode1,OwnerCode2,OwnerCode3,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName,Property
5065861,Collector Public School - Buildings B00A and B00G,Built,,1,Basic,1,5,10937,1590,South East and Tablelands,0.8094,Wiradjuri,Collector,Lorn Street Collector 2581,Upper Lachlan,,Lorn Street,1 1 1 724358
5065862,"Crookwell Public School - Buildings B00A, B00B and B00J",Built,,1,Basic,1,5,12373,1684,South East and Tablelands,0.7108,Wiradjuri,Crookwell,43 Denison Street Crookwell 2583,Upper Lachlan,43,Denison Street,1 6A Section 17 1 758308
5065863,Dalton Public School - Building B00A,Built,,1,Basic,1,5,12464,1723,South East and Tablelands,0.6127,Wiradjuri,Dalton,1-5 Jobson Street Dalton 2581,Upper Lachlan,1-May,Jobson Street,1 6 Section 9 1 758335
5065864,"Gunning Public School - Buildings B00F, B00G and B00H",Built,,1,Basic,1,5,12778,2111,South East and Tablelands,0.9107,Wiradjuri,Gunning,Copeland Street Gunning 2581,Upper Lachlan,,Copeland Street,1 1 1 123369
5065865,Laggan Public School - Building B00H,Built,,1,Basic,1,5,13171,2354,South East and Tablelands,1.0402,Wiradjuri,Laggan,Laggan Road Laggan 2583,Upper Lachlan,,Laggan Road,1 1 1 356233
5065866,Taralga Public School - Buildings B00A and B00D,Built,,1,Basic,1,5,11938,3163,South East and Tablelands,0.939,Wiradjuri,Taralga,93 Orchard Street Taralga 2580,Upper Lachlan,93,Orchard Street,1 1 1 369109
5065867,Rocky River Public School,Complex / Group,Education,1,Basic,1,6,10734,2983,South East and Tablelands,1.7187,Anaiwan,Rocky River,354 Thunderbolts Way Rocky River 2358,Uralla,354,Thunderbolts Way,1 35 1 755846
5065868,Collingullie Public School - Buildings B00A-B00C and B00E,Built,,1,Basic,1,5,12252,1591,Murray-Murrumbidgee,1.241,Wiradjuri,Collingullie,18 Urana Street Collingullie 2652,Wagga Wagga,18,Urana Street,1 116 1 754561
5065869,Humula Public School - Buildings B00A and B00B,Built,,1,Basic,1,5,12658,2188,Murray-Murrumbidgee,0.6831,Wiradjuri,Humula,21 School Street Humula 2652,Wagga Wagga,21,School Street,1 1 1 1027883
5065870,Ladysmith Public School - Buildings B00A and B00B,Built,,1,Basic,1,5,13085,2353,Murray-Murrumbidgee,2.032,Wiradjuri,Ladysmith,3 Tywong Street Ladysmith 2652,Wagga Wagga,3,Tywong Street,1 180 1 757253
5065872,"North Wagga Public School - Buildings B00A-B00C, B00E and B00F",Built,,1,Basic,1,5,11366,3332,Murray-Murrumbidgee,0.815,Wiradjuri,Wagga Wagga,54 Hampden Avenue Wagga Wagga 2650,Wagga Wagga,54,Hampden Avenue,1 204A 1 751422
5065873,Wagga Wagga High School - Building B00B,Built,,1,Basic,1,5,11565,8142,Murray-Murrumbidgee,0.6096,Wiradjuri,Turvey Park,36 Coleman Street Turvey Park 2650,Wagga Wagga,36,Coleman Street,1 5 1 122502
5065874,Uranquinty Public School - Building B00A,Built,,1,Basic,1,5,11524,1499,Murray-Murrumbidgee,1.021,Wiradjuri,Uranquinty,25 Uranquintry Street Uranquinty 2652,Wagga Wagga,25,Uranquintry Street,1 181 1 754567
5065875,South Wagga Public School - Building B00F,Built,,1,Basic,1,5,12892,3333,Murray-Murrumbidgee,2.042,Wiradjuri,Wagga Wagga,140 Edward Street Wagga Wagga 2650,Wagga Wagga,140,Edward Street,1 2 1 882714
5065876,Wagga Wagga Public School - Buildings B00A-B00E and B00J,Built,,1,Basic,1,5,11545,3330,Murray-Murrumbidgee,0.2026,Wiradjuri,Wagga Wagga,70 Gurwood Street Wagga Wagga 2650,Wagga Wagga,70,Gurwood Street,1 9 Section 36 1 759031
5065877,Wagga Wagga Public School,Complex / Group,Education,1,Basic,1,6,11545,3330,Murray-Murrumbidgee,1.2543,Wiradjuri,Wagga Wagga,70 Gurwood Street Wagga Wagga 2650,Wagga Wagga,70,Gurwood Street,1 6-11 Section 36 1 759031
5065878,South Wagga Public School,Complex / Group,Education,1,Basic,1,6,12892,3333,Murray-Murrumbidgee,2.042,Wiradjuri,Wagga Wagga,140 Edward Street Wagga Wagga 2650,Wagga Wagga,140,Edward Street,1 2 1 882714
5065879,Burren Junction Public School - Building B00M,Built,,1,Basic,1,5,12414,1447,Far West,1.072,Gamilaroi,Burren Junction,7 Alma Street Burren Junction 2386,Walgett,7,Alma Street,1 1 Section 3 1 758199
5065880,Carinda Public School - Residence,Built,,1,Basic,1,5,12221,1507,Far West,2.023,Gamilaroi,Carinda,2 McNamara Street Carinda 2831,Walgett,2,McNamara Street,1 4 1 751556
5065881,Collarenebri Central School - Building B00C,Built,,1,Basic,1,5,13134,1589,Far West,0.8094,Gamilaroi,Collarenebri,42 Herbert Street Collarenebri 2833,Walgett,42,Herbert Street,1 2 Section 5 1 758262
5065882,Lightning Ridge Public School - Building B00B,Built,,1,Basic,1,5,10638,2395,Far West,0.8094,Gamilaroi,Lightning Ridge,Brilliant Street Lightning Ridge 2834,Walgett,,Brilliant Street,1 1 Section 6 1 758612
