School_code,AgeID,SchoolName,Street,Town_suburb,Postcode,Latitude,Longitude
4571,56160,Banks Public School,182 Banks Drive,ST CLAIR,2759,-33.793717,150.773098
4577,54955,Minchinbury Public School,McFarlane Drive,Minchinbury ,2770,-33.78862,150.832427
4579,54948,James Erskine Public School,Peppertree Drive,Erskine Park ,2759,-33.805167,150.803884
4590,54664,Hambledon Public School,Bali Drive,Quakers Hill,2763,-33.71645,150.887211
4598,54688,Hassall Grove Public School,Buckwell Drive,Hassall Grove ,2761,-33.73548,150.838504
1040,49126,Anna Bay Public School,191 Gan Gan Rd,Anna Bay ,2316,-32.77637,152.089912
4608,54689,Glendenning Public School,135 Armitage Drive,Glendenning,2761,-33.74223,150.852638
4614,55822,Windsor Park Public School,156 Rifle Range Road,SOUTH WINDSOR,2756,-33.640641,150.813492
4619,55391,Henry Fulton Public School,Vincent Road,Cranebrook,2749,-33.70473,150.709665
4630,56691,Beaumont Hills Public School,The Parkway,Beaumont Hills ,2155,-33.697809,150.945659
4631,57058,Surveyors Creek Public School,St Andrews Drive,Glenmore Park,2745,-33.787277,150.689173
4638,62886,Ironbark Ridge Public School,1 Ironbark Ridge Road,Rouse Hill,2155,-33.687371,150.933259
1201,49183,Beresfield Public School,Cnr Anderson Dr & Lawson Ave,Beresfield,2322,-32.803964,151.654863
4640,62754,Sherwood Ridge Public School,34 Rosebery Rd,Kellyville ,2155,-33.706672,150.975587
1247,49186,Black Hill Public School,408 Black Hill Rd,Black Hill ,2322,-32.838523,151.617131
1256,49340,Blandford Public School,New England Hwy,Blandford ,2338,-31.778585,150.892725
4648,67584,John Palmer Public School,85 The Ponds Boulevard The Ponds  NSW 2769,,2769,-33.707397,150.911525
5574,57880,Casuarina School,Garfield Rd E & Piccadilly St,Riverstone,2765,-33.677516,150.866346
5614,58047,William Rose School,Cnr Morris St & Lucas Rd,Seven Hills ,2147,-33.769095,150.937493
5637,56173,Coreen School,Hereward Hwy,Blacktown ,2148,-33.77315,150.911039
5642,46413,Halinda School,Mimika Ave,Whalan,2770,-33.75902,150.807065
5643,46348,Niland School,Niland Cres,Blackett ,2770,-33.736791,150.813357
5688,56287,The Hills School,Mary St,Northmead ,2152,-33.779745,151.003951
5754,50779,Plumpton House School,327 Rooty Hill Road North,Plumpton ,2761,-33.75029,150.840732
1527,49312,Cassilis Public School,Coolah Rd,Cassilis,2329,-32.004552,149.978075
1542,49278,Cessnock Public School,Rawson St,Cessnock ,2325,-32.840405,151.363808
5761,67706,Penrith Valley Learning Centre,3 Werrington Road Werrington NSW 2747,,2747,-33.766554,150.758761
7302,47752,Carlingford Public School,Rickard St,Carlingford ,2118,-33.780094,151.055153
7444,47794,Rosehill Public School,31 Virginia st,ROSEHILL,2142,-33.824229,151.018376
1564,49164,Clarence Town Public School,Queen St,Clarence Town ,2321,-32.588731,151.777207
8135,47844,Parramatta High School,Great Western Hwy & Pitt St,Parramatta ,2150,-33.817883,150.996083
1749,49309,Denman Public School,Paxton St,Denman ,2328,-32.385734,150.686009
1762,48734,Dora Creek Public School,Cooranbong Rd,Dora Creek ,2264,-33.07902,151.499217
8163,50712,Penrith High School,158-240 High St,Penrith,2750,-33.756721,150.706537
8178,50730,Richmond High School,Lennox St,Richmond ,2753,-33.600535,150.746715
8229,47850,Northmead Creative and Performing Arts High School,Campbell St,Northmead ,2152,-33.788092,150.999661
8235,47755,James Ruse Agricultural High School,Felton Rd,Carlingford ,2118,-33.780624,151.043204
4422,50801,Emerton Public School,Hindemith Ave,Emerton ,2770,-33.744738,150.805478
8395,47809,Pendle Hill High School,Knox St,Wentworthville ,2145,-33.793877,150.962194
1849,48729,The Entrance Public School,Oakland Ave,The Entrance ,2261,-33.346741,151.493009
8396,50753,Windsor High School,Mulgrave & Windsor Rds,McGraths Hill ,2756,-33.618653,150.833554
8412,47818,The Hills Sports High School,Best Rd,Seven Hills ,2147,-33.782184,150.938834
8443,46353,Colyton High School,37-53 Carpenter St,St Marys,2760,-33.777602,150.797336
8446,50843,Springwood High School,111 Grose Road,Faulconbridge,2776,-33.685057,150.550608
8459,6356,Chifley College Mount Druitt Campus,Stuart St,Mount Druitt ,2770,-33.744657,150.812884
8488,6354,Chifley College Dunheved Campus,Maple Rd,North St Marys,2760,-33.749646,150.783093
8499,47859,Model Farms High School,81 Gooden Drive,Baulkham Hills,2153,-33.76943,150.971394
8514,57849,Plumpton High School,Hyatts Rd,Plumpton ,2761,-33.748126,150.835498
8516,50685,Cambridge Park High School,Harrow Rd,Cambridge Park ,2747,-33.752164,150.732892
2084,49330,Greta Public School,2A Wyndham Street,GRETA,2334,-32.680083,151.38721
8522,50838,Blaxland High School,Coughlan Rd,Blaxland ,2774,-33.754247,150.60859
8526,50734,Colo High School,218 Bells Line of Road,NORTH RICHMOND,2754,-33.569359,150.708204
2177,49162,Telarah Public School,Raymond St,Maitland,2320,-32.7252,151.532379
8528,17407,Chifley College Bidwill Campus,Bunya Rd,Bidwill ,2770,-33.733854,150.827271
8573,54956,Winmalee High School,High School Drive,Winmalee ,2777,-33.676047,150.615138
8580,55109,Cranebrook High School,Hosking Street,Cranebrook,2749,-33.721662,150.709812
8590,54957,Erskine Park High School,78/82 Swallow Dr,Erskine Park ,2759,-33.807899,150.802962
8594,14696,Quakers Hill High School,70 Lalor Road,QUAKERS HILL,2763,-33.729813,150.89645
8905,47754,Cumberland High School,183 Pennant Hills Road,CARLINGFORD,2118,-33.785205,151.036898
2246,49101,The Junction Public School,Union St,Merewether ,2291,-32.939964,151.758644
8907,6398,Riverstone High School,71 McCulloch Street,RIVERSTONE,2765,-33.678883,150.875744
8908,46358,Rooty Hill High School,54 North Parade,ROOTY HILL,2766,-33.770841,150.838148
1002,49333,Aberdeen Public School,Segenhoe St,Aberdeen,2336,-32.166098,150.888095
1003,49299,Abermain Public School,Goulburn St,Abermain ,2326,-32.80892,151.426499
2314,49332,Kirkton Public School,797 Standen Drive,BELFORD,2335,-32.609773,151.290092
1008,49043,Adamstown Public School,Bryant St,Adamstown ,2289,-32.932213,151.730971
2334,48692,Kulnura Public School,9 Williams Rd,Kulnura ,2250,-33.232582,151.216011
1082,56159,Avoca Beach Public School,The Round Drive,Avoca Beach,2251,-33.471154,151.430745
1084,48964,Awaba Public School,Mulbring Street,Awaba,2283,-33.010554,151.538068
1138,49127,Barnsley Public School,Cliffbrook St,Barnsley ,2278,-32.933094,151.594552
2374,49179,Largs Public School,1-5 Hunter St,Largs ,2320,-32.700491,151.60564
1177,49208,Bellbird Public School,Doyle Street,BELLBIRD,2325,-32.859421,151.316705
2417,49180,Lochinvar Public School,New England Hwy,Lochinvar ,2321,-32.700305,151.451988
2451,49192,Maitland East Public School,William St,EAST MAITLAND,2323,-32.748991,151.585256
1182,49335,Belltrees Public School,Moonan Flat Rd,Belltrees ,2337,-31.988753,151.129487
2492,49311,Martindale Public School,670 Martindale Rd,Martindale,2328,-32.458834,150.665723
1183,57401,Belmont Public School,Livingstone St,Belmont ,2280,-33.030134,151.662203
1203,48706,Berkeley Vale Public School,Pindarri Avenue,Berkeley Vale,2261,-33.350515,151.435888
1271,49128,Bobs Farm Public School,764 Marsh Rd,Bobs Farm,2316,-32.766796,152.010937
2512,45543,Medowie Public School,Ferodale Rd,Medowie,2318,-32.738245,151.85406
1286,49156,Bolwarra Public School,Bolwarra Rd,Bolwarra ,2320,-32.706994,151.573008
1302,48988,Boolaroo Public School,Main Rd & Second St,Boolaroo ,2284,-32.951196,151.622765
2532,48733,Bonnells Bay Public School,Morisset Park Rd,Bonnells Bay ,2264,-33.114489,151.516783
1341,49331,Branxton Public School,12 King Street,BRANXTON,2335,-32.659391,151.350682
1367,49314,Broke Public School,Cochrane St,Broke ,2330,-32.744976,151.104334
1498,48671,Brisbania Public School,1 High Street,Saratoga,2251,-33.478822,151.357294
2571,49022,Minmi Public School,Woodford St,Minmi ,2287,-32.876125,151.617471
1505,49003,Cardiff Public School,Macquarie Rd,Cardiff ,2285,-32.945779,151.657754
2623,49182,Morpeth Public School,High St,Morpeth ,2321,-32.725663,151.632128
1518,49108,Carrington Public School,Young St,Carrington ,2294,-32.912446,151.765328
2647,49318,Mount Pleasant Public School,Goorangoola Rd,SINGLETON,2330,-32.408483,151.188781
1543,49053,Cessnock East Public School,Old Maitland Rd,Cessnock ,2325,-32.827606,151.369746
1545,49281,Cessnock West Public School,Wollombi & Campbell Sts,Cessnock ,2325,-32.838387,151.344863
1550,49050,Charlestown Public School,Frederick St,Charlestown ,2290,-32.965494,151.697486
2703,48684,Narara Public School,Newling St,Lisarow ,2250,-33.387915,151.362616
1635,48737,Cooranbong Public School,Government Rd,Cooranbong ,2265,-33.0805,151.441793
2736,49123,Newcastle East Public School,Tyrrell St,Newcastle ,2300,-32.930285,151.776915
2738,49148,New Lambton Public School,Regent St,New Lambton ,2305,-32.922604,151.712784
8276,55821,Glenmore Park High School,Glenmore Parkway,Glenmore Park,2745,-33.791012,150.672564
1856,48674,Erina Heights Public School,Serpentine Rd,Erina Heights ,2260,-33.428028,151.413585
